Report generated on: 03-10-2020 00:03:12
"API","","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","undefined","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","    World","","","","","","","","","63987.8","60602","58100.1","57929.3","59563.457939891","59156.12542984","61534.957680463","62101.270443814","64398.731705722","65524.911263149","66437.183905812","66338.851097141","66551.970174706","67103.663294385","68639.087945205","70306.087945205","71985.654371585","74220.316164384","75682.895068493","74840.069315068","77729.131016622","77673.206026219","77103.671612926","79623.389394355","83450.075039929","85095.607460274","85221.366435616","85289.662871233","86646.285","85846.801764384","88558.538238356","89035.914490411","91089.544595628","91686.34130137","94283.397071233","97104.272076712","97601.29092623","98114.167520548","100784.02118082",""
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","    World","","","","","","","","","63987.8","60602","58100.1","57929.3","59563.457939891","59156.12542984","61534.957680463","62101.270443814","64398.731705722","65524.911263149","66437.183905812","66338.851097141","66551.970174706","67103.663294385","68639.087945205","70306.087945205","71985.654371585","74220.316164384","75682.895068493","74840.069315068","77729.131016622","77673.206026219","77103.671612926","79623.389394355","83450.075039929","85095.607460274","85221.366435616","85289.662871233","86646.285","85846.801764384","88558.538238356","89035.914490411","91089.544595628","91686.34130137","94283.397071233","97104.272076712","97601.29092623","98114.167520548","100784.02118082",""
"INTL.53-1-AFG-TBPD.A","        Afghanistan","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ALB-TBPD.A","        Albania","","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","10","11","11","9.9","9.6","9.2657534246575","6.4","5.5753424657534","5.6600993056776","5.9940386902137","6.3223393940603","6.722138203611","6.6988375638087","6.985","7.8144657534247","6.5011780821918","6.036","5.3907671232877","10.870835616438","15.573068493151","16.84706557377","17.016219178082","20.586849315068","20.230643835616","22.817633879781","16.069","15.655301369863",""
"INTL.53-1-DZA-TBPD.A","        Algeria","","","","","","","","","1143","1052","1046","1018","1115","1142","1190","1200","1174","1234","1315","1309","1341","1312","1295.6","1306.7945205479","1376.0448087432","1417.2397260274","1402.4109589041","1388.601369863","1433.0252873095","1513.892645335","1617.6530514084","1784.0430240192","1844.5250343737","1956.7780684932","1967.4934931507","1967.545260274","1954.459","1909.8147123288","1881.051","1862.69","1875.2271693989","1763.0818219178","1722.342","1798.425","1698.7856557377","1641.7428082192","1577.0825342466",""
"INTL.53-1-ASM-TBPD.A","        American Samoa","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-AGO-TBPD.A","        Angola","","","","","","","","","150","130","122","177","208","231","281","359","451","454","474","499","526","508","535.79726027397","645.43287671233","708.18415300546","713.20821917808","734.58219178082","744.51780821918","746.11311260974","741.9041209333","896.14300652761","902.30472165696","1054.4150318537","1249.2288082192","1419.9168630137","1747.504830137","1960.2065081967","1886.2952191781","1917.9925479452","1765.0274383562","1796.4701803279","1814.0265342466","1755.7554383562","1827.9220136986","1796.7427540984","1706.4348493151","1655.1690958904",""
"INTL.53-1-ATA-TBPD.A","        Antarctica","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ARG-TBPD.A","        Argentina","","","","","","","","","508","513","507","504","498","485","471","472","492","496","521","529","597","647","713.1095890411","773.57534246575","820.98360655738","904.67123287671","916.68493150685","870.23287671233","831.74536200536","876.07287944176","865.5893954249","865.7590334744","825.08216636179","797.08575342466","802.28490958904","781.22516986301","801.04222677596","801.65746575342","788.87369041096","763.10448219178","722.69703551913","706.12696164384","716.35140547945","708.68324657534","708.77014754098","676.22804109589","678.55954794521",""
"INTL.53-1-ARM-TBPD.A","        Armenia","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0.00024718704657534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ABW-TBPD.A","        Aruba","","","","","","","","","--","--","--","--","--","--","0","0","0","0","-0.0682256","0.0385766698","-0.02753029","-0.02753029","0","0","0","0","0","0","2.356055726776","2.3625106739726","2.3625106739726","2.3625106739726","2.356055726776","2.351","2.235","2.477","2.465","2.811","2.813","2.822","0.68","0","0","0","0","0","0",""
"INTL.53-1-AUS-TBPD.A","        Australia","","","","","","","","","460","474","444","489","571","665","606","639","633","583","666","635","619","590","624.3095890411","646.79452054795","666.74863387978","694.56164383562","648.70684931507","646.95068493151","828.05825409836","768.25712876712","744.24487945205","629.81298082192","557.34418879781","580.79393150685","561.77256164384","567.35591780822","570.91261202186","580.74653424658","590.22520547945","514.65893150685","507.08881420765","432.76483561644","448.15634246575","402.34682191781","373.7283715847","341.76189041096","370.77689041096",""
"INTL.53-1-AUT-TBPD.A","        Austria","","","","","","","","","30","28","29","28","27","25","25","24","27","27","27","30","27","26","26","27.704109589041","26.697267759563","24","25.704109589041","23.2","24.746918032787","25.285332876712","26.893875342466","25.908538356164","26.461887978142","24.920438356164","26.617424657534","27.682808219178","27.925901639344","28.192","36.275917808219","36.972534246575","37.009535519126","27.979904109589","31.903863013699","33.013890410959","29.415202185792","29.245534246575","28.223616438356",""
"INTL.53-1-AZE-TBPD.A","        Azerbaijan","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","222","206","191.1095890411","180.55753424658","180.38087431694","179.97534246575","236.77397260274","283.57808219178","288.5872103184","308.86233791086","315.41844643675","325.17476278923","317.6340321204","440.00560273973","646.58054794521","849.06904657534","878.19272404372","1015.9452630137","1044.844369863","993.26052054795","931.75600273224","880.82496986301","856.87589863014","858.1772","843.54625136612","800.68197260274","808.48197260274",""
"INTL.53-1-BHR-TBPD.A","        Bahrain","","","","","","","","","57","55","53","52","51","49","53","52","53","52","48","44","45","55","55.2","53","46.4","53.1","49.6","49.2","49.775009624984","49.254580375332","49.392913315068","49.589591726027","50.606052540984","47.525","48.853","48.435","48.598","48.685","47.489","47.487","55.165","60.993","64.181109589041","65.886","63.886","59.886","56.886",""
"INTL.53-1-BGD-TBPD.A","        Bangladesh","","","","","","","","","0","0","0","0.2","0.4","0.7","0.7","0.6","0.8","0.7","1","0.9","1","1.2","1.6","1.3","1.5","2.2","2.2","2","3.2110340290164","4.1014933735288","6.8246917905699","6.9128311285918","6.7458151641421","6.76","6.733","6.724","6.4086666666667","5.684","5.072","5.063","4.8486666666667","4.156","4.127","4.105","4.105","3.7707534246575","3.105",""
"INTL.53-1-BRB-TBPD.A","        Barbados","","","","","","","","","0","0","1","1","2","2","1.9","1.2","1.2","1","1.1","1","1.2","1.1","1.1","1.1","1.2","0.9","1.6","1.9","1.53","1.271","1","1","1.0022325046737","1","1.0334246575342","1.1084931506849","1.101","0.766","1","1","1","1","1","1","1","1","1",""
"INTL.53-1-BLR-TBPD.A","        Belarus","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","42","35","36.350684931507","34.180821917808","32.861202185792","33.542465753425","33.916438356164","33.88904109589","34.687913602423","35.371999049633","33.469221064","34.331285743551","35.031041709754","35.155","35.602","36.011","35.296","32.063","32.113","30.739","30.124","31.307","33.193","26.001931506849","32.583666666667","31.917","32.917",""
"INTL.53-1-BEL-TBPD.A","        Belgium","","","","","","","","","8","8","9","10","11","11","6.1","5.6","8.2","11","11","9.1","10","9.8","13","12","11","11","11","12","10.218117486339","12.3046","13.060852054795","11.060347945205","10.687590163934","8.691","11.914","11.224","11.218","12.603","23.04","21.982","22.474","23.892","28.595","25.458","24.423","28.785","28.785",""
"INTL.53-1-BLZ-TBPD.A","        Belize","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2573095890411","2.999797260274","3.5106639344262","3.989501369863","4.2516821917808","4","3.2393442622951","3","1.8177616438356","2","2","2","2",""
"INTL.53-1-BEN-TBPD.A","        Benin","","","","","","","","","0","0","0","4","7","8","8","7","5","4","4","4","5.6","5.8","5.9","3","2","1.3","1","1","0.69","0.7","0.8","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BMU-TBPD.A","        Bermuda","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BTN-TBPD.A","        Bhutan","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BOL-TBPD.A","        Bolivia","","","","","","","","","32","26","30","28","27","26","23","24","24","25","26","26","28","30","31.8","35.591780821918","37.86393442623","38.138356164384","44.7","41.5","40.435148657945","44.853252834437","47.220134189873","42.920152998194","61.338126812372","62.664463013699","61.316663013699","61.825282191781","51.557117486339","45.959701369863","47.872942465753","49.254312328767","57.594366120219","65.201178082192","69.001660273973","74.069473972603","77.634868852459","77.465904109589","77.63302739726",""
"INTL.53-1-BIH-TBPD.A","        Bosnia and Herzegovina","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.073","-0.059","-0.097","-0.094","-0.015","0.07","0.131","0.258","0.219","0.248","0.248","0.248","0.248",""
"INTL.53-1-BWA-TBPD.A","        Botswana","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
